month,avg_close,monthly_low,monthly_high,total_volume
1994-11,12.65,12.06,13.38,32842600
1994-12,11.88,11.19,12.88,32486600
1995-01,14.88,12.44,16.13,69651600
1995-02,15.29,14.5,16.06,40565400
1995-03,16.9,14.69,17.94,64869600
1995-04,17.43,16.25,18.44,60877600
1995-05,17.5,16.06,18.81,59550000
1995-06,17.77,16.31,19.63,72385000
1995-07,17.04,15.19,18.25,88273000
1995-08,16.65,15.25,18,60169200
1995-09,16.58,14,17.94,68389200
1995-10,13.3,11.38,14.63,67628000
1995-11,10.76,10,11.94,63302000
1995-12,9.15,8.06,10.31,62336800
1996-01,9.3,8.06,10.44,63704800
1996-02,10.11,9.5,10.63,40098200
1996-03,8.83,8.38,9.75,34685600
1996-04,8.82,8.31,9.5,40919600
1996-05,9.22,8.56,9.94,43913400
1996-06,7.89,6.44,8.81,40526200
1996-07,6.09,5.13,7.19,43102600
1996-08,6.52,5.94,7.13,26600400
1996-09,6.86,6.06,8.13,35120400
1996-10,8.35,7.06,9.19,47814000
1996-11,11.25,8.81,12.94,82655400
1996-12,12.99,11.31,14.19,69450200
1997-01,15.76,12.44,18.06,119009400
1997-02,17.3,15.69,18.44,60406400
1997-03,20.46,17.69,24.25,154383000
1997-04,19.81,17.5,22.5,134335600
1997-05,21.3,18.63,22.88,89132200
1997-06,19.01,17,20.81,105038600
1997-07,18.41,16.59,20.44,93440200
1997-08,19.34,17.56,21.38,92728000
1997-09,16.94,15.38,20,117991200
1997-10,13.87,9.81,15.81,140772200
1997-11,11.03,9.28,12.28,66340400
1997-12,9.63,8.56,11.31,63501600
1998-01,9.45,8.66,10.44,72734000
1998-02,10.07,8.97,12.69,104360600
1998-03,11.42,10.25,14.81,120487000
1998-04,14.01,12.41,15.5,125112800
1998-05,11.66,9.53,13.97,105799000
1998-06,8.96,8.19,10.13,83184200
1998-07,8.35,7.59,9.5,102610600
1998-08,8.63,6.38,10.06,101506000
1998-09,8.65,6.38,10.5,114273600
1998-10,8.71,6.81,11.41,168644800
1998-11,13.25,11.03,14.69,165408400
1998-12,14.55,13.25,16.38,136356400
1999-01,12.41,9.88,16.5,231621000
1999-02,9.28,8.25,12.72,174152000
1999-03,8.45,7.75,9.63,90814000
1999-04,8.04,7.28,8.63,58483200
1999-05,9.38,8.13,10.88,79407800
1999-06,8.97,8.25,9.75,84460200
1999-07,8.54,8.03,9.28,56859600
1999-08,9.23,7.81,10.5,74863000
1999-09,9.89,8.53,12.38,115243200
1999-10,9.18,8.19,10.22,84139400
1999-11,12.46,9.94,15.25,153737000
1999-12,14.62,13.25,15.97,118310600
2000-01,17.83,14,22.56,199690800
2000-02,20.57,17.5,22.75,146979800
2000-03,25.95,19.25,30.19,225647000
2000-04,37.49,25.5,44.44,288117600
2000-05,41.9,33,46.44,220641800
